book_info,movie_info
"Ask the Dust (1939), John Fante",Ask the Dust (2006)
"Asking for Trouble (2001), Elizabeth Young",The Wedding Date (2005)
"The Asphalt Jungle (1949), W. R. Burnett","The Asphalt Jungle (1950)
The Badlanders (1959)"
"The Assassination Bureau, Ltd (1963), Jack London",The Assassination Bureau (1969)
"The Assassination of Jesse James by the Coward Robert Ford (1983), Ron Hansen",The Assassination of Jesse James by the Coward Robert Ford (2007)
"L'Assommoir (1877), Émile Zola",Gervaise (1956)
"Assunta Spina (1908), Salvatore Di Giacomo","Assunta Spina (1915)
Assunta Spina (1930)
Assunta Spina (1948)
Assunta Spina (2006)"
"The Astronauts (1961), Stanisław Lem",First Spaceship on Venus (1960)
"Asylum (1996), Patrick McGrath",Asylum (2005)
"At Play in the Fields of the Lord (1965), Peter Matthiessen",At Play in the Fields of the Lord (1991)
"At the Earth's Core (1914) (serial), (1922) (novel), Edgar Rice Burroughs","At the Earth's Core (1976)
Journey to the Center of the Earth (2008)"
"Atlantis (1912), Gerhart Hauptmann",Atlantis (1913)
"Atonement (2001), Ian McEwan",Atonement (2007)
"Audrey Rose (1975), Frank De Felitta",Audrey Rose (1977)
"The Auction Block (1914), Rex Beach","The Auction Block (1917)
The Auction Block (1926)"
"Auntie Mame (1955), Patrick Dennis",Auntie Mame (1958)
"Avalon High (2005), Meg Cabot",Avalon High (2010) (TV)
"The Aviator (1981), Ernest K. Gann",The Aviator (1985)
"Away All Boats (1953), Kenneth M. Dodson",Away All Boats (1956)
An Awfully Big Adventure (1989) Beryl Bainbridge,An Awfully Big Adventure (1995)
"The Ax (1997), Donald E. Westlake",Le Couperet (2005)
"Ayat-Ayat Cinta (The Verses of Love) (2005), Habiburrahman El Shirazy",Ayat-Ayat Cinta (2008)
"Baby Love (1968), Tina Chad Christian",Baby Love (1968)
"Babylon Babies (1999), Maurice Georges Dantec",Babylon A.D. (2008)
"Back Street (1931), Fannie Hurst","Back Street (1932)
Back Street (1941)
Back Street (1961)"
"Back When We Were Grownups (2001), Anne Tyler",Back When We Were Grownups (2004)
"Background to Danger (1937) (a. k. a. Uncommon Danger), Eric Ambler",Background to Danger (1943)
"Bad Girl (1928), Viña Delmar",Bad Girl (1931)
"The Bad Seed (1954), William March (novel)
* The Bad Seed (1954), play adaptation by Maxwell Anderson","The Bad Seed (1956)
The Bad Seed (1985) (TV)
The Bad Seed (TBA 2013)"
"Baise-moi(1999), Virginie Despentes",Baise-moi (2000)
"The Bait (1968), Dorothy Uhnak",The Bait (1973) (TV)
"The Ballad of Cat Ballou (1956), Roy Chanslor",Cat Ballou (1965)
"The Ballad of the Flim-Flam Man (1965), Guy Owen",The Flim-Flam Man (1967)
"The Ballad of the Running Man (1963), Shelley Smith",The Running Man (1963)
"Balzac et la petite tailleuse chinoise (Balzac and the Little Chinese Seamstress) (2000), Dai Sijie",Balzac and the Little Chinese Seamstress (2002)
"Band of Angels (1955), Robert Penn Warren",Band of Angels (1957)
"Bank Shot (1972), Donald E. Westlake",Bank Shot (1974)
"Banner in the Sky (1900), James Ramsey Ullman",Third Man on the Mountain (1959)
"The Barefoot Mailman (1943), Theodore Pratt",The Barefoot Mailman (1951)
"Basil of Baker Street (1958), Eve Titus",The Great Mouse Detective (1986)
"Bastard Out of Carolina (1992), Dorothy Allison",Bastard Out of Carolina (1996)
"Battle Cry (1953), Leon Uris",Battle Cry (1955)
"The Battle of the Villa Fiorita (1963), Rumer Godden",The Battle of the Villa Fiorita (1965)
"Battle Royale (1999), Koushun Takami","Battle Royale (2000)
* Battle Royale II: Requiem (2003)"
"Battlefield Earth (1982), L. Ron Hubbard",Battlefield Earth (2000)
"Be Cool (1999), Elmore Leonard",Be Cool (2005)
"Be Ready with Bells and Drums (1961), Elizabeth Kata",A Patch of Blue (1965)
"Be Still, My Love (1947), June Truesdell",The Accused (1949)
"The Beach (1996), Alex Garland",The Beach (2000)
"Beaches (1985), Iris Rainer Dart",Beaches (1988)
"The Beardless Warriors (1960), Richard Matheson",The Young Warriors (1967)
"The Beast (1991), Peter Benchley",The Beast (1996)
"The Beast Master (1959), Andre Norton","The Beastmaster (1982)
* Beastmaster 2: Through the Portal of Time (1991)
** Beastmaster III: The Eye of Braxus (1996) (TV)"
"The Beast Must Die (1938), Cecil Day-Lewis (as Nicholas Blake)","La Bestia debe morir (1952)
Que la bête meure (The Beast Must Die) (1969) (a. k. a. This Man Must Die)"
"The Beast Within (1981), Edward Levy",The Beast Within (1982)
"Beat the Devil (1951), Claud Cockburn (as James Helvick)",Beat the Devil (1953)
"Beau Brocade (1907), Baroness Emmuska Orczy",Beau Brocade (1916)
"Beau Geste (1924), P. C. Wren","Beau Geste (1926)
Beau Hunks (1931)
Beau Geste (1939)
Beau Geste (1966)
Follow That Camel (1967)
The Last Remake of Beau Geste (1977)
Beau Geste (1982) (TV) (mini)"
"Beautiful Creatures (2009), Kami Garcia and Margaret Stohl",Beautiful Creatures (2013)
"Bedelia (1945), Vera Caspary",Bedelia (1946)
"Bee Season (2000), Myla Goldberg",Bee Season (2005)
"Beer and Blood: The Story of a Couple o' Wrong Guys (1930), John Bright and Kubec Glasmon",The Public Enemy (1931)
"Before the Fact (1932), Anthony Berkeley (as Francis Iles)",Suspicion (1941)
"Behind That Curtain (1928), Earl Derr Biggers",Behind That Curtain (1929)
"Being There (1971), Jerzy Kosinski",Being There (1979)
"Bel Ami (1885), Guy de Maupassant","Bel Ami (1939)
The Private Affairs of Bel Ami (1947)
Bel Ami (2005) (TV)
Bel Ami (2012)"
"Belle de Jour (1928), Joseph Kessel",Belle de Jour (1967)
"Belli Moda (Silver Cloud) (1961), Anasuya Shankar",Belli Moda (1966)
"Bellman and True (1975), Desmond Lowden","Bellman and True (1987)
The Real McCoy (1993)"
"Beloved (1987), Toni Morrison",Beloved (1998)
"Belphégor (1927), Arthur Bernède",Belphégor - Le fantôme du Louvre (2001)
"Ben-Hur: A Tale of the Christ (1880), Lew Wallace","Ben Hur (1907)
Ben-Hur (1925)
Ben-Hur (1959)
Ben Hur (2003)
Ben Hur (2010) (TV) (mini)"
"Benjamin Blake (1941), Edison Marshall","Son of Fury: The Story of Benjamin Blake (1942)
Treasure of the Golden Condor (1953)"
"Benzina (Gasoline) (1998), Elena Stancanelli",Gasoline (2001)
"Beowulf (Eighth to Eleventh Century), unknown",Beowulf(2007)
"Berlin Alexanderplatz (1929), Alfred Döblin","Berlin — Alexanderplatz (1931)
Berlin Alexanderplatz (1980) (TV)"
"La bestia nel cuore (2003), Cristina Comencini",La bestia nel cuore (The Beast in the Heart) (2005) (a. k. a. Don't Tell)
"La Bête humaine (1890), Émile Zola","Die Bestie im Menschen (1920)
La Bête Humaine (1938)
Human Desire (1954)
La Bestia humana (1954)
Cruel Train (1995)"
"The Betsy (1971), Harold Robbins",The Betsy (1978)
"Beyond the Forest: The Story of a Man and Woman Destroyed by Love (1948), Stuart D. Engstrand",Beyond the Forest (1949)
"Beyond This Place (1953), A. J. Cronin","Beyond This Place (1955)
Beyond This Place (1957) (TV)
Kala Pani (1958)
Web of Evidence (1959)
Poola Rangadu (1967)"
"The BFG (1982), Roald Dahl","The BFG (1989)
The BFG (2016)"
"Bhowani Junction (1954), John Masters",Bhowani Junction (1956)
"Bid Time Return (1975), Richard Matheson",Somewhere in Time (1980)
"The Beginning and the End (بداية ونهاية, Bidaya wa Nihaya) (1960), Naguib Mahfouz",Bidaya wa Nihaya (1960)
"The Big Bounce (1966) (written) (1969) (published), Elmore Leonard","The Big Bounce (1969)
The Big Bounce (2004)"
"The Big Clock (1946), Kenneth Fearing","The Big Clock (1948)
No Way Out (1987)"
"Big Fish: A Novel of Mythic Proportions (1998), Daniel Wallace",Big Fish (2003)
"The Big Fisherman (1948), Lloyd C. Douglas",The Big Fisherman (1959)
"The Big Heat (1952), William P. McGivern",The Big Heat (1953)
"Big Red (1945), Jim Kjelgaard",Big Red (1962)
"The Big Sleep (1939), Raymond Chandler","The Big Sleep (1946)
The Big Sleep (1978)
The Big Lebowski (1998)"
"Big Trouble (1999), Dave Barry",Big Trouble (2002)
"Biggles (1932–1968) (series), W. E. Johns","Biggles: Adventures in Time (1986)
It Couldn't Happen Here (1988)"
"Billion-Dollar Brain (1966), Len Deighton",Billion Dollar Brain (1967)
"Billy Bathgate (1989), E. L. Doctorow",Billy Bathgate (1991)
"Billy Liar (1969), Keith Waterhouse",Billy Liar (1963)
"The Birds (1952), Daphne du Maurier",The Birds (1963)
"Birdy (1978), William Wharton",Birdy (1984)
"The Bishop's Wife (1928), Robert Nathan",The Bishop's Wife (1947)
"Biruma no tategoto (The Burmese Harp) (1946) (a.k.a. Harp of Burma), Michio Takeyama","Biruma no tategoto (The Burmese Harp) (1956)
Biruma no tatekoto (The Burmese Harp) (1985)"
"""The Biscuit Eater"" (1939), James H. Street","The Biscuit Eater (1940)
The Biscuit Eater (1972)"
"The Bitch (1979), Jackie Collins",The Bitch (1979)
"[[Pascal Bruckner#Works - Lunes de fiel: roman, Seuil, 1981, ISBN 978-2-02-005856-8|Bitter Moon]] (Lunes de fiel) (1981), Pascal Bruckner",Bitter Moon (1992)
"The Bitter Tea of General Yen (1932), Grace Zaring Stone",The Bitter Tea of General Yen (1933)
"Black Alibi (1942), Cornell Woolrich",The Leopard Man (1943)
"The Black Angel (1943), Cornell Woolrich",Black Angel (1946)
"The Black Arrow: A Tale of the Two Roses (1888), Robert Louis Stevenson","The Black Arrow (1911)
The Black Arrow (1943)
The Black Arrow (1973) (TV)
Black Arrow (1985) (TV)
Chyornaya strela (The Black Arrow) (1987)
The Black Arrow (1988) (TV)"
"Black Beauty (1877), Anna Sewell","Black Beauty (1921)
Black Beauty (1933)
Black Beauty (1946)
Courage of Black Beauty (1958)
Black Beauty (1971)
Black Beauty (1978) (TV)
Black Beauty (1994)
Black Beauty (1995) (V)"
"The Black Camel (1929), Earl Derr Biggers",The Black Camel (1931)
"The Black Curtain (1941), Cornell Woolrich",Street of Chance (1942)
"The Black Dahlia (1987), James Ellroy",The Black Dahlia (2006)
"Black Narcissus (1939), Rumer Godden",Black Narcissus (1947)
"The Black Path of Fear (1944), Cornell Woolrich",The Chase (1946)
"The Black Rose (1945), Thomas B. Costain",The Black Rose (1950)
"The Black Stallion (1941–1989) (series), Walter Farley
The Black Stallion (1941)
* The Black Stallion Returns (1945)
** The Young Black Stallion (1989)","The Black Stallion (1979–2003) (series)
The Black Stallion (1979)
* The Black Stallion Returns (1983)
** The Young Black Stallion (2003)"
"Black Sunday (1971), Thomas Harris",Black Sunday (1977)
"The Blackboard Jungle (1954), Evan Hunter",Blackboard Jungle (1955)
"Blackbeard's Ghost (1965), Ben Stahl",Blackbeard's Ghost (1968)
"The Blank Wall (1947), Elisabeth Sanxay Holding","The Reckless Moment (1949)
The Deep End (2001)"
"Blaze of Noon (1946), Ernest K. Gann",Blaze of Noon (1947)
"Le Blé en herbe (1923), Colette","Le Blé en herbe (1954)
Le Blé en herbe (1990)"
"Bleak House (1852–1853) (serial), (1853) (novel), Charles Dickens","Bleak House (1920)
Bleak House (1922)
Bleak House (1927) (short film)
Bleak House (1959) (TV) (serial)
Bleak House (1985) (TV) (serial)
Bleak House (2005) (TV) (serial)"
"Bless the Beasts and Children (1970), Glendon Swarthout",Bless the Beasts & Children (1971)
"Bless the Child (1993), Cathy Cash Spellman",Bless the Child (2000)
"The Blessing (1951), Nancy Mitford",Count Your Blessings (1959)
"Blood and Chocolate (1997), Annette Curtis Klause",Blood & Chocolate (2007)
"Blood Brother (1947), Elliott Arnold",Broken Arrow (1950)
"Blood on the Moon (1941) (a.k.a. Gunman's Chance), Luke Short",Blood on the Moon (1948)
"Blood on the Moon (1984), James Ellroy",Cop (1988)
"The Blood Oranges (1970), John Hawkes",The Blood Oranges (1997)
"Blood Work (1998), Michael Connelly",Blood Work (2002)
"Blue Fin (1969), Colin Thiele",Blue Fin (1978)
"The Blue Lagoon (1908), Henry De Vere Stacpoole","The Blue Lagoon (1923)
The Blue Lagoon (1949)
The Blue Lagoon (1980)"
"Blueprint (Blaupause) (1999), Charlotte Kerner",Blueprint (2003)
"The Body (1982), Stephen King",Stand By Me (1986)
"The Body (1983), Richard Sapir",The Body (2001)
"The Body Snatchers (1955), Jack Finney","Invasion of the Body Snatchers (1956)
Invasion of the Body Snatchers (1978)
* Body Snatchers (1993)
** The Invasion (2007)
Invasion of the Pod People (2007)"
"Bombaiyer Bombete (1976), Satyajit Ray",Bombaiyer Bombete (2003)
"The Bonfire of the Vanities (1987), Tom Wolfe",The Bonfire of the Vanities (1990)
"Bonjour Tristesse (Hello Sadness) (1954), Françoise Sagan",Bonjour Tristesse (1958)
"Boogiepop and Others (1998), Kouhei Kadono",Boogiepop and Others (2000)
"The Book of Daniel (1971), E. L. Doctorow",Daniel (1983)
"Das Boot (The Boat) (1973), Lothar-Günther Buchheim",Das Boot (The Boat) (1981)
"The Border Jumpers (1955), Will C. Brown",Man of the West (1958)
"The Border Legion (1916), Zane Grey","The Border Legion (1924)
The Last Round-Up (1934)"
"Border Town (1934), Carroll Graham",Bordertown (1935)
"The Borrowers (1952), Mary Norton","The Borrowers (1973) (TV)
The Borrowers (1997)
The Borrower Arrietty (2010)"
"The Bostonians (1885–1886) (serial), (1886) (novel), Henry James",The Bostonians (1984)
"Bourne (1980–2012) (series), Robert Ludlum and Eric Van Lustbader
The Bourne Identity (1980)
* The Bourne Supremacy (1986)
** The Bourne Ultimatum (1990)
*** The Bourne Legacy (2004)","The Bourne Identity (1988) (TV)
Bourne (2002–present) (series)
The Bourne Identity (2002)
* The Bourne Supremacy (2004)
** The Bourne Ultimatum (2007)
*** The Bourne Legacy (2012)"
"The Boy in the Striped Pyjamas (2006), John Boyne",The Boy in the Striped Pyjamas (2008)
"Boy on a Dolphin (1955), David Divine",Boy on a Dolphin (1957)
"The Boys from Brazil (1976), Ira Levin",The Boys from Brazil (1978)
"The Bravados (1958), Frank O'Rourke",The Bravados (1958)
"The Brave Bulls (1949), Thomas C. Lea III",The Brave Bulls (1951)
"The Brave Cowboy (1956), Edward Abbey",Lonely Are the Brave (1962)
"The Brave Little Toaster: A Bedtime Story for Small Appliances (1980) Thomas M. Disch
* The Brave Little Toaster Goes to Mars (1988), Thomas M. Disch","The Brave Little Toaster (1987)
* The Brave Little Toaster Goes to Mars (1998)
** The Brave Little Toaster to the Rescue (1999)"
"Brave New World (1932), Aldous Huxley","Brave New World (1980)
Brave New World (1998)
Brave New World (TBA 2011)"
"Breakfast of Champions (1973), Kurt Vonnegut, Jr.",Breakfast of Champions (1999)
"Breakfast on Pluto (1998), Patrick McCabe",Breakfast on Pluto (2005)
"Breakfast with Scot (1999), Michael Downing",Breakfast with Scot (2007)
"Breakheart Pass (1974), Alistair MacLean",Breakheart Pass (1975)
"Breaking Smith's Quarter Horse (1963), Paul St. Pierre",Smith! (1969)
"The Bride Wore Black (1940), Cornell Woolrich",The Bride Wore Black (1967)
"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder (1945), Evelyn Waugh","Brideshead Revisited (1981) (TV) (serial)
Brideshead Revisited (2008)"
"The Bridge of San Luis Rey (1927), Thornton Wilder","The Bridge of San Luis Rey (1929)
The Bridge of San Luis Rey (1944)
The Bridge of San Luis Rey (2004)"
"Bridge to Terabithia (1977), Katherine Paterson","Bridge to Terabithia (1985) (TV)
Bridge to Terabithia (2007)"
"The Bridges at Toko-Ri (1953), James A. Michener",The Bridges at Toko-Ri (1953)
"The Bridges of Madison County (a. k. a. Love in Black and White) (1992), Robert James Waller",The Bridges of Madison County (1995)
"Bridget Jones (1996–1999) (series), Helen Fielding
Bridget Jones's Diary (1996)
* The Edge of Reason (1999)","Bridget Jones (2001–2004) (series)
Bridget Jones's Diary (2001)
* Bridget Jones: The Edge of Reason (2004)"
"Bright Lights, Big City (1984), Jay McInerney","Bright Lights, Big City (1988)"
"Brighton Rock (1938), Graham Greene","Brighton Rock (1947)
Brighton Rock (2010)"
"Bringing Out the Dead (1998), Joe Connelly",Bringing Out the Dead (1999)
