,Unnamed: 0,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title,title,rating,year,users_rating,votes,metascore,img_url,countries,languages,actors,genre,tagline,description,directors,runtime,imdb_url
1574,1576,"The Killer Inside Me (1952), Jim Thompson",The Killer Inside Me (1976),1952,The Killer Inside Me,Jim Thompson,298663.0,1976,The Killer Inside Me,The Killer Inside Me,R,1976,6.1,330,,"https://m.media-amazon.com/images/M/MV5BMTQ1ODYzMTM5N15BMl5BanBnXkFtZTcwODk1NjAyMQ@@._V1_UY268_CR9,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Stacy Keach', 'Susan Tyrrell', 'Tisha Sterling', 'Keenan Wynn', 'Don Stroud', 'Charles McGraw', 'John Dehner', 'Pepe Serna', 'John Carradine', 'Royal Dano', 'Julie Adams', 'William Mahiger', 'Jack Moore', 'Jim Kennedy', 'Dewey Burns']","['Crime', 'Drama']","Good friend, brave sheriff. . .savage killer. (dvd)","Everyone figures Lou Ford, a small-town, Montana, deputy sheriff, to be a normal, good-old-boy kind of regular Joe. But no one knows about ""the sickness"" that drives him to kill.",['Burt Kennedy'],99 min,https://www.imdb.com/title/tt0074746/
1575,1577,"The Killer Inside Me (1952), Jim Thompson",The Killer Inside Me (2010),1952,The Killer Inside Me,Jim Thompson,298663.0,2010,The Killer Inside Me,The Killer Inside Me,R,2010,6.1,"31,290",53,"https://m.media-amazon.com/images/M/MV5BMTUyOTIwMTU5MV5BMl5BanBnXkFtZTcwNDY5NjA1Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['UK', 'Sweden', 'Canada', 'USA']",['English'],"['Casey Affleck', 'Kate Hudson', 'Jessica Alba', 'Ned Beatty', 'Elias Koteas', 'Tom Bower', 'Simon Baker', 'Bill Pullman', 'Brent Briscoe', 'Matthew Maher', 'Liam Aiken', 'Jay R. Ferguson', 'Ali Nazary', 'Blake Lindsley', 'Zach Josse']","['Crime', 'Drama', 'Thriller']",,A West Texas Deputy Sheriff is slowly unmasked as a psychotic killer.,['Michael Winterbottom'],109 min,https://www.imdb.com/title/tt0954947/
1581,1583,"Kiss of the Spider Woman (1976), Manuel Puig",Kiss of the Spider Woman (1985),1976,Kiss of the Spider Woman,Manuel Puig,588242.0,1985,Kiss of the Spider Woman,Kiss of the Spider Woman,R,1985,7.4,"12,641",80,"https://m.media-amazon.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1._CR12,11,306,484_UX182_CR0,0,182,268_AL__QL50.jpg","['Brazil', 'USA']","['English', 'French', 'Portuguese', 'German']","['William Hurt', 'Raul Julia', 'Sônia Braga', 'José Lewgoy', 'Milton Gonçalves', 'Míriam Pires', 'Nuno Leal Maia', 'Fernando Torres', 'Patricio Bisso', 'Herson Capri', 'Denise Dumont', 'Nildo Parente', 'Antônio Petrin', 'Wilson Grey', 'Miguel Falabella']",['Drama'],,A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.,['Hector Babenco'],120 min,https://www.imdb.com/title/tt0089424/
1582,1584,"Kiss the Girls (1995), James Patterson",Kiss the Girls (1997),1995,Kiss the Girls,James Patterson,13148.0,1997,Kiss the Girls,Kiss the Girls,R,1997,6.6,"57,890",46,"https://m.media-amazon.com/images/M/MV5BMjE2MWE1ZDYtNjNkYS00YjZmLWJkZjctOTYzYTVjMDFiN2M5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Mandarin']","['Morgan Freeman', 'Ashley Judd', 'Cary Elwes', 'Alex McArthur', 'Tony Goldwyn', 'Jay O. Sanders', 'Bill Nunn', 'Brian Cox', 'Richard T. Jones', 'Roma Maffia', 'Jeremy Piven', 'Gina Ravera', 'William Converse-Roberts', 'Helen Martin', 'Tatyana Ali']","['Crime', 'Drama', 'Mystery', 'Thriller']",A detective is searching for a deadly collector. His only hope is the woman who got away.,Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.,['Gary Fleder'],115 min,https://www.imdb.com/title/tt0119468/
1583,1585,"Kiss Tomorrow Goodbye (1948), Horace McCoy",Kiss Tomorrow Goodbye (1950),1948,Kiss Tomorrow Goodbye,Horace McCoy,167046.0,1950,Kiss Tomorrow Goodbye,Kiss Tomorrow Goodbye,Approved,1950,7.2,"1,463",,"https://m.media-amazon.com/images/M/MV5BMjAzZTdlZWQtMTE3ZS00NDhjLWIxYmEtZmEwMjE5NTk3OTg5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['James Cagney', 'Barbara Payton', 'Helena Carter', 'Ward Bond', 'Luther Adler', 'Barton MacLane', 'Steve Brodie', 'Rhys Williams', 'Herbert Heyes', 'John Litel', 'William Frawley', 'Robert Karnes', 'Kenneth Tobey', 'Dan Riss', 'Frank Reicher']","['Crime', 'Film-Noir', 'Thriller']",As only James Cagney can portray it!,"Starting with a violent prison break, clever, ruthless Ralph Cotter corrupts everyone around him.",['Gordon Douglas'],102 min,https://www.imdb.com/title/tt0042648/
1584,1586,"The Klansman (1967), William Bradford Huie",The Klansman (1974),1967,The Klansman,William Bradford Huie,685970.0,1974,The Klansman,The Klansman,R,1974,5.1,"1,130",,"https://m.media-amazon.com/images/M/MV5BM2Q3NDkxMGMtYWU0Zi00ZGE4LWJmZDUtZmNlZjczNjk5Y2M2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY268_CR2,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Lee Marvin', 'Richard Burton', 'Cameron Mitchell', 'O.J. Simpson', 'Lola Falana', 'David Huddleston', 'Luciana Paluzzi', 'Linda Evans', 'Ed Call', 'John Alderson', 'John Pearce', 'David Ladd', 'Vic Perrin', 'Spence Wil-Dee', 'Wendell Wellman']","['Crime', 'Drama', 'Thriller']","Welcome to scenic Atoka County. Pop 10,000. Cross burnings. Rape. Murder. Arson. Its a great place to live...... if THEY let you.",A local Sheriff tries to keep the peace as racial strife hits his small Alabama town as tensions boil over when a black man is accused of raping a white woman.,['Terence Young'],112 min,https://www.imdb.com/title/tt0071721/
1590,1592,"Kowloon Tong (1997), Paul Theroux",Chinese Box (1997),1997,Kowloon Tong,Paul Theroux,130513.0,1997,Chinese Box,Chinese Box,R,1997,6.3,"2,921",,"https://m.media-amazon.com/images/M/MV5BMjA1NzY1OTM5MF5BMl5BanBnXkFtZTYwMzM0MzY5._V1_UY268_CR4,0,182,268_AL__QL50.jpg","['France', 'Japan', 'USA']","['English', 'Cantonese']","['Jeremy Irons', 'Li Gong', 'Maggie Cheung', 'Michael Hui', 'Rubén Blades', 'Jared Harris', 'Chaplin Chang', 'Noel Rands', 'Emma Lucia', 'Ken Bennett', 'Russell Cawthorne', 'Emotion Cheung', 'Harvey Stockwin', 'Jonathan Midgley', 'Bruce Walker']","['Drama', 'Romance']",,"The story of Hong Kong, from New Year's Day to June 30th, 1997, when the British left their colony and turned it over to the People's Republic of China.",['Wayne Wang'],99 min,https://www.imdb.com/title/tt0118851/
1591,1593,"Kuroi Ame (Black Rain) (1966), Masuji Ibuse",Black Rain (1989),1966,Kuroi Ame,Masuji Ibuse,3407716.0,1989,Black Rain,Black Rain,R,1989,6.6,"44,564",56,"https://m.media-amazon.com/images/M/MV5BYjZjZDU1OWItNjQ2YS00MGY4LWE0ODgtODlkMzU3ZjlmODkyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['USA', 'UK']","['English', 'Japanese']","['Michael Douglas', 'Andy Garcia', 'Ken Takakura', 'Kate Capshaw', 'Yûsaku Matsuda', 'Shigeru Kôyama', 'John Spencer', 'Guts Ishimatsu', 'Yûya Uchida', 'Tomisaburô Wakayama', 'Miyuki Ono', 'Luis Guzmán', 'John Costelloe', 'Stephen Root', 'Richard Riehle']","['Action', 'Crime', 'Thriller']","A Ridley Scott Film From The Producers Of ""Fatal Attraction""",Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,['Ridley Scott'],125 min,https://www.imdb.com/title/tt0096933/
1592,1594,"L.A. Confidential (1990), James Ellroy",L.A. Confidential (1997),1990,L.A. Confidential,James Ellroy,57727.0,1997,L.A. Confidential,L.A. Confidential,R,1997,8.3,"482,441",90,"https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'James Cromwell', 'Kim Basinger', 'Danny DeVito', 'David Strathairn', 'Ron Rifkin', 'Matt McCoy', 'Paul Guilfoyle', 'Paolo Seganti', 'Elisabeth Granli', 'Sandra Taylor', 'Steve Rankin', 'Graham Beckel']","['Crime', 'Drama', 'Mystery', 'Thriller']",It's a crime saga that will shock you.  It's a mystery that will keep you guessing.  It's a thriller that will keep you riveted.,"As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",['Curtis Hanson'],138 min,https://www.imdb.com/title/tt0119488/
1600,1602,"The Lady of the Camellias (1848), Alexandre Dumas, fils",Camille (1915),1848,The Lady of the Camellias,"Alexandre Dumas, fils",212977.0,1915,Camille,Camille,,1915,6.7,7,,"https://m.media-amazon.com/images/M/MV5BNzg4NWYwM2EtZjliYS00NTU1LWFlMGEtNmZhODk1YzYzZjIzXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Clara Kimball Young', 'Paul Capellani', 'Lillian Cook', 'Robert Cummings', 'Dan Baker', 'Stanhope Wheatcroft', 'Frederick Truesdell', 'William Jefferson', 'Edward Kimball', 'Louise Ducey', 'Beryl Morhange']",['Drama'],,"Camille is a courtesan in Paris. She falls deeply in love with a young man of promise, Armand Duval. When Armand's father begs her not to ruin his hopes of a career and position by marrying...",['Albert Capellani'],,https://www.imdb.com/title/tt0005049/
1605,1607,"The Lady of the Camellias (1848), Alexandre Dumas, fils",Camille (1936),1848,The Lady of the Camellias,"Alexandre Dumas, fils",212977.0,1936,Camille,Camille,Passed,1936,7.5,"6,470",,"https://m.media-amazon.com/images/M/MV5BMjAxODQwMjI2MV5BMl5BanBnXkFtZTgwMzc3NTMyMTE@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Greta Garbo', 'Robert Taylor', 'Lionel Barrymore', 'Elizabeth Allan', 'Jessie Ralph', 'Henry Daniell', 'Lenore Ulric', 'Laura Hope Crews', ""Rex O'Malley""]","['Drama', 'Romance']",Greta Garbo Loves Robert Taylor,"A Parisian courtesan must choose between the young man who loves her and the callous baron who wants her, even as her own health begins to fail.",['George Cukor'],109 min,https://www.imdb.com/title/tt0028683/
1615,1617,"Lassie Come-Home (1940), Eric Knight",Lassie Come Home (1943),1940,Lassie Come-Home,Eric Knight,895886.0,1943,Lassie Come Home,Lassie Come Home,Passed,1943,7.2,"4,433",,"https://m.media-amazon.com/images/M/MV5BMTIwMDI4MWUtNDE5Mi00YzJkLTgxOTItMjgxMzIzODM0MWI4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Roddy McDowall', 'Donald Crisp', 'May Whitty', 'Edmund Gwenn', 'Nigel Bruce', 'Elsa Lanchester', 'Elizabeth Taylor', 'Ben Webster', ""J. Pat O'Malley"", 'Alan Napier', 'Arthur Shields', 'John Rogers', 'Alec Craig', 'Pal']","['Adventure', 'Family']",The pulse-pounding adventure of an unusual collie who fought her way home . . . through a thousand miles of danger !,"After her destitute family is forced to sell her, a collie named Lassie escapes from her new owner and begins the long trek from Scotland to her Yorkshire home.",['Fred M. Wilcox'],89 min,https://www.imdb.com/title/tt0036098/
1630,1632,"The Last Days of Pompeii (1834), Edward Bulwer-Lytton",The Last Days of Pompeii (1935),1834,The Last Days of Pompeii,Edward Bulwer-Lytton,888.0,1935,The Last Days of Pompeii,The Last Days of Pompeii,Approved,1935,6.5,794,,"https://m.media-amazon.com/images/M/MV5BMjMxNDAzNDg3NF5BMl5BanBnXkFtZTgwODMyODgwMzE@._V1_UY268_CR1,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Preston Foster', 'Alan Hale', 'Basil Rathbone', 'John Wood', 'Louis Calhern', 'David Holt', 'Dorothy Wilson', 'Wyrley Birch', 'Gloria Shea', 'Frank Conroy', 'William V. Mong', 'Murray Kinnell', 'Henry Kolker', 'Edward Van Sloan', 'Zeffie Tilbury']","['Adventure', 'Drama']",,"In the doomed Roman city, a gentle blacksmith becomes a corrupt gladiator, while his son leans toward Christianity.","['Ernest B. Schoedsack', 'Merian C. Cooper']",96 min,https://www.imdb.com/title/tt0026605/
1633,1635,"The Last Detail (1970), Darryl Ponicsan",The Last Detail (1973),1970,The Last Detail,Darryl Ponicsan,1425024.0,1973,The Last Detail,The Last Detail,R,1973,7.6,"19,394",89,"https://m.media-amazon.com/images/M/MV5BNGI0M2M2MzgtZGVjYS00ODZkLWI4NTEtYzEyNzUzYzgxMTM2XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Jack Nicholson', 'Otis Young', 'Randy Quaid', 'Clifton James', 'Carol Kane', 'Michael Moriarty', 'Luana Anders', 'Kathleen Miller', 'Nancy Allen', 'Gerry Salsberg', 'Don McGovern', 'Pat Hamilton', 'Michael Chapman', 'Jim Henshaw', 'Derek McGrath']","['Comedy', 'Drama']",No *#@!!* Navy's going to give some poor **!!@* kid eight years in the #@!* brig without me taking him out for the time of his *#@!!* life.,"Two Navy men are ordered to bring a young offender to prison, but decide to show him one last good time along the way.",['Hal Ashby'],104 min,https://www.imdb.com/title/tt0070290/
1634,1636,"The Last Hunt (1954), Milton Lott",The Last Hunt (1956),1954,The Last Hunt,Milton Lott,8472043.0,1956,The Last Hunt,The Last Hunt,Not Rated,1956,7.0,"1,208",,"https://m.media-amazon.com/images/M/MV5BZTQyM2U3MTUtNDc1OC00Zjc1LTg3MTUtNmNhZmFiYzY5ODhjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Robert Taylor', 'Stewart Granger', 'Lloyd Nolan', 'Debra Paget', 'Russ Tamblyn', 'Constance Ford', 'Joe De Santis', 'Ainslie Pryor', 'Ralph Moody', 'Fred Graham', 'Ed Lonehill']","['Drama', 'Western']",See the Stampede of 3000 Angry Buffalo!!!,"In 1883 South Dakota, two buffalo hunters start a personal feud over a captured squaw and a stand-off with a Dakota raiding party over some stolen horses.",['Richard Brooks'],108 min,https://www.imdb.com/title/tt0049432/
1637,1639,"The Last of the Duanes (1913) (written), (1996) (published), Zane Grey",The Last of the Duanes (1930),1913,The Last of the Duanes,(1996) (published,121176.0,1930,The Last of the Duanes,The Last of the Duanes,Passed,1930,5.8,37,,"https://m.media-amazon.com/images/M/MV5BMDJhNThkMmItNTQ4Mi00OWM4LWExYTUtMjNkYzZkNWI5ZjA5XkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_UY268_CR8,0,182,268_AL__QL50.jpg",['USA'],['English'],"[""George O'Brien"", 'Lucile Browne', 'Myrna Loy', 'Walter McGrail', 'Clara Blandick', 'Frank Campeau', 'Natalie Kingston', 'Jim Mason', 'James Bradbury Jr.', 'Lloyd Ingraham', 'Willard Robertson']","['Action', 'Adventure', 'Romance', 'Western']",ZANE GREY'S thrill-packed story of the Texas Rangers (original herald),"Buck Duane avenges his father's murder by gunning down the killer, but must flee from the law. He finds Ruth, whom he once loved, in the clutches of the outlaw Bland. In rescuing Ruth, he ...",['Alfred L. Werker'],62 min,https://www.imdb.com/title/tt0021051/
1639,1641,"The Last of the Duanes (1913) (written), (1996) (published), Zane Grey",Last of the Duanes (1941),1913,The Last of the Duanes,(1996) (published,121176.0,1941,Last of the Duanes,Last of the Duanes,Approved,1941,7.5,13,,"https://m.media-amazon.com/images/M/MV5BOWQ5OGJlNWUtOTRjYi00Njk5LTk0MWUtMGQ0NDM4MTQ3NWIxXkEyXkFqcGdeQXVyNTY4NjI2OTA@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['George Montgomery', 'Lynne Roberts', 'Eve Arden', 'Francis Ford', 'George E. Stone', 'William Farnum', 'Joe Sawyer', 'Truman Bradley', 'Russell Simpson', 'Don Costello', 'Harry Woods', 'Andrew Tombes']","['Action', 'Drama', 'Western']",A BLAZING SIX-GUN AT ITS BEST...in the hands of the West's best gunslinger!,"In 1870 Texas, a man comes home to find his father murdered. He trails an outlaw until he discovers he's part of a gang. He calls in the Texas Rangers.",['James Tinling'],57 min,https://www.imdb.com/title/tt0033817/
1641,1643,"The Last of the Mohicans (1826), James Fenimore Cooper",The Last of the Mohicans (1920) (made in America),1826,The Last of the Mohicans,James Fenimore Cooper,38296.0,1920,The Last of the Mohicans,The Last of the Mohicans,Not Rated,1920,6.9,994,,"https://m.media-amazon.com/images/M/MV5BMTg4OTMzNjY1Nl5BMl5BanBnXkFtZTgwMTU5NzgwMzE@._V1._CR49,47,273,392_UY268_CR2,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Wallace Beery', 'Barbara Bedford', 'Alan Roscoe', 'Lillian Hall', 'Henry Woodward', 'James Gordon', 'George Hackathorne', 'Nelson McDowell', 'Harry Lorraine', 'Theodore Lorch', 'Jack McDonald', 'Sydney Deane', 'Joseph Singleton']","['Action', 'Adventure', 'Drama']",,"As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil...","['Clarence Brown', 'Maurice Tourneur']",73 min,https://www.imdb.com/title/tt0011387/
1643,1645,"The Last of the Mohicans (1826), James Fenimore Cooper",The Last of the Mohicans (1932) (serial),1826,The Last of the Mohicans,James Fenimore Cooper,38296.0,1932,The Last of the Mohicans,The Last of the Mohicans,Passed,1932,5.8,101,,"https://m.media-amazon.com/images/M/MV5BYmVkYWZkODQtMThjZS00ZDRjLWJhY2QtN2U0M2ZmZTk5MWI0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Harry Carey', 'Hobart Bosworth', 'Frank Coghlan Jr.', 'Edwina Booth', 'Lucile Browne', 'Walter Miller', 'Bob Kortman', 'Walter McGrail', 'Nelson McDowell', 'Edward Hearn', 'Mischa Auer', 'Yakima Canutt']","['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",,"Natty Bumppo, known as Hawk-Eye, is a frontiersman in the American wilderness. Together with his Indian friends Chingachgook and Uncas, he fights battles against nefarious white soldiers as...","['Ford Beebe', 'B. Reeves Eason']",231 min,https://www.imdb.com/title/tt0023119/
1644,1646,"The Last of the Mohicans (1826), James Fenimore Cooper",The Last of the Mohicans (1936),1826,The Last of the Mohicans,James Fenimore Cooper,38296.0,1936,The Last of the Mohicans,The Last of the Mohicans,Approved,1936,6.7,"1,012",,"https://m.media-amazon.com/images/M/MV5BNTM2MDJjNzMtZjRjYi00NmY4LTk2YWYtYzlhYmQxN2Q0OWVhXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Randolph Scott', 'Binnie Barnes', 'Henry Wilcoxon', 'Bruce Cabot', 'Heather Angel', 'Phillip Reed', 'Robert Barrat', 'Hugh Buckler', 'Willard Robertson', 'William Stack', 'Lumsden Hare', 'Frank McGlynn Sr.', 'Will Stanton', 'William V. Mong', 'Art Dupuis']","['Adventure', 'Drama', 'History', 'War', 'Western']",James Fenimore Cooper's Greatest Tale Of Rousing Adventure!,"As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil...",['George B. Seitz'],91 min,https://www.imdb.com/title/tt0027869/
1647,1649,"The Last of the Mohicans (1826), James Fenimore Cooper",The Last of the Mohicans (1992),1826,The Last of the Mohicans,James Fenimore Cooper,38296.0,1992,The Last of the Mohicans,The Last of the Mohicans,R,1992,7.8,"132,890",76,"https://m.media-amazon.com/images/M/MV5BZDNiYmRkNDYtOWU1NC00NmMxLWFkNmUtMGI5NTJjOTJmYTM5XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'French', 'Mohawk']","['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig', 'Jodhi May', 'Steven Waddington', 'Wes Studi', 'Maurice Roëves', 'Patrice Chéreau', 'Edward Blatchford', 'Terry Kinney', 'Tracey Ellis', 'Justin M. Rice', 'Dennis Banks', 'Pete Postlethwaite']","['Action', 'Adventure', 'Drama', 'Romance', 'War']",The first American hero.,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,['Michael Mann'],112 min,https://www.imdb.com/title/tt0104691/
1648,1650,"The Last Picture Show (1966), Larry McMurtry",The Last Picture Show (1971),1966,The Last Picture Show,Larry McMurtry,50051.0,1971,The Last Picture Show,The Last Picture Show,R,1971,8.1,"36,766",93,"https://m.media-amazon.com/images/M/MV5BNmVjNzZkZjQtYmM5ZC00M2I0LWJhNzktNDk3MGU1NWMxMjFjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd', 'Ben Johnson', 'Cloris Leachman', 'Ellen Burstyn', 'Eileen Brennan', 'Clu Gulager', 'Sam Bottoms', 'Sharon Ullrick', 'Randy Quaid', 'Joe Heathcock', 'Bill Thurman', 'Barc Doyle', 'Jessie Lee Fulton']",['Drama'],"THE PICTURE SHOW THAT INTRODUCED AMERICA TO THE FORGOTTEN 1950S. It launched the meteoric career of its brilliant new director and its talented cast. It won 2 Academy Awards, and nominations for 8. If you missed it the first time, you owe it to yourself now. If you saw it once, remember it again.","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically.",['Peter Bogdanovich'],118 min,https://www.imdb.com/title/tt0067328/
1649,1651,"The Last Ride (1996), Thomas Eidson",The Missing (2003),1996,The Last Ride,Thomas Eidson,30981695.0,2003,The Missing,The Missing,R,2003,6.5,"30,533",55,"https://m.media-amazon.com/images/M/MV5BYWM1ZmU5NWItZDM0ZC00MTk5LThiMTktZGUxOThjNzI5NTcyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],"['English', 'Apache languages', 'Spanish']","['Tommy Lee Jones', 'Cate Blanchett', 'Evan Rachel Wood', 'Jenna Boyd', 'Aaron Eckhart', 'Val Kilmer', 'Sergio Calderón', 'Eric Schweig', 'Steve Reevis', 'Jay Tavare', 'Simon Baker', 'Ray McKinnon', 'Max Perlich', 'Ramon Frank', 'Deryle J. Lujan']","['Adventure', 'Thriller', 'Western']","How far would you go, how much would you sacrifice to get back what you have lost?","In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.",['Ron Howard'],137 min,https://www.imdb.com/title/tt0338188/
1650,1652,"The Last Song (2009), Nicholas Sparks",The Last Song (2010),2009,The Last Song,Nicholas Sparks,6400090.0,2010,The Last Song,The Last Song,PG,2010,5.9,"72,166",33,"https://m.media-amazon.com/images/M/MV5BMjE2MTcyMjMyNF5BMl5BanBnXkFtZTgwODg2ODU1MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Miley Cyrus', 'Greg Kinnear', 'Bobby Coleman', 'Liam Hemsworth', 'Hallock Beals', 'Kelly Preston', 'Nick Lashaway', 'Carly Chaikin', 'Kate Vernon', 'Nick Searcy', 'Adam Barnett', 'Michael Jamorski', 'Melissa Ordway', 'Carrie Malabre', 'Lance E. Nichols']","['Drama', 'Music', 'Romance']",Do you ever really forget your first heartbreak?,"A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",['Julie Anne Robinson'],,https://www.imdb.com/title/tt1294226/
1651,1653,"Last Stand at Papago Wells (1957), Louis L'Amour",Apache Territory (1958),1957,Last Stand at Papago Wells,Louis L'Amour,1123579.0,1958,Apache Territory,Apache Territory,Approved,1958,5.7,344,,"https://m.media-amazon.com/images/M/MV5BMjEyNjM4MzA3M15BMl5BanBnXkFtZTcwNzMyMzExNQ@@._V1_UY268_CR3,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Rory Calhoun', 'Barbara Bates', 'John Dehner', 'Carolyn Craig', 'Tom Pittman', 'Leo Gordon', 'Myron Healey', 'Francis De Sales', 'Frank DeKova', 'Regis Parton', 'Bob Woodward', 'Fred Krone']","['Action', 'Western']",FLAMING ARROWS VS. HOME-MADE BOMBS (original poster-all caps),A no-nonsense drifter leads a ragtag collective surrounded by a deadly tribe of Apaches.,['Ray Nazarro'],71 min,https://www.imdb.com/title/tt0051369/
1653,1655,"The Last Unicorn (1968), Peter S. Beagle",The Last Unicorn (1982),1968,The Last Unicorn,Peter S. Beagle,29127.0,1982,The Last Unicorn,The Last Unicorn,G,1982,7.5,"21,835",70,"https://m.media-amazon.com/images/M/MV5BOTBjOTg1ZmMtMjFlZi00ODkyLTkwOGMtY2FmNTc1MTEzMGQyXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","['USA', 'UK', 'Japan', 'West Germany', 'France']","['English', 'German']","['Alan Arkin', 'Jeff Bridges', 'Mia Farrow', 'Tammy Grimes', 'Robert Klein', 'Angela Lansbury', 'Christopher Lee', 'Keenan Wynn', 'Paul Frees', 'Rene Auberjonois', 'Brother Theodore', 'Don Messick', 'Jack Lester', 'Nellie Bellflower', 'Ed Peck']","['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",The Magical Fantasy Adventure Based on the Bestselling Book.,A brave unicorn and a magician fight an evil King who is obsessed with attempting to capture the world's unicorns.,"['Jules Bass', 'Arthur Rankin Jr.']",92 min,https://www.imdb.com/title/tt0084237/
1654,1656,"The Late George Apley (1937), John P. Marquand",The Late George Apley (1947),1937,The Late George Apley,John P. Marquand,267418.0,1947,The Late George Apley,The Late George Apley,Approved,1947,7.1,649,,"https://m.media-amazon.com/images/M/MV5BNjRjYmRiYmMtNzdiNy00NzQyLThmMWMtZDY1NTcyMjY2NDIwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",['USA'],['English'],"['Ronald Colman', 'Vanessa Brown', 'Richard Haydn', 'Charles Russell', 'Richard Ney', 'Percy Waram', 'Mildred Natwick', 'Edna Best', 'Nydia Westman', 'Peggy Cummins', 'Susan Blanchard']",['Comedy'],He's the immovable object! She's the irresistible force! It's the incomparably entertaining movie!,"George and Catherine Apley of Boston lead a proper life in the proper social circle, as did the Apleys before them. When grown daughter Eleanor falls in love with Howard (from New York!), ...",['Joseph L. Mankiewicz'],93 min,https://www.imdb.com/title/tt0039556/
