,book_info,movie_info,book_year,book_title,book_author,id,film_year,film_title
2139,"The Pelican Brief (1992), John Grisham",The Pelican Brief (1993),1992,The Pelican Brief,John Grisham,32499,1993,The Pelican Brief
2140,"The Penal Colony (1987), Richard Herley",No Escape (1994),1987,The Penal Colony,Richard Herley,18133917,1994,No Escape
2141,"The People That Time Forgot (1918), Edgar Rice Burroughs",The People That Time Forgot (1977),1918,The People That Time Forgot,Edgar Rice Burroughs,1041041,1977,The People That Time Forgot
2142,"Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan
The Lightning Thief (2005)
* The Sea of Monsters (2006)",Percy Jackson & the Olympians (2010–present) (series),2005,Percy Jackson & the Olympians,"Rick Riordan
The Lightning Thief (",28187,2010,Percy Jackson & the Olympians
2143,"Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan
The Lightning Thief (2005)
* The Sea of Monsters (2006)",Percy Jackson & the Olympians: The Lightning Thief (2010),2005,Percy Jackson & the Olympians,"Rick Riordan
The Lightning Thief (",28187,2010,Percy Jackson & the Olympians: The Lightning Thief
2144,"Percy Jackson & the Olympians (2005–2009) (series), Rick Riordan
The Lightning Thief (2005)
* The Sea of Monsters (2006)",* Percy Jackson & the Olympians: The Sea of Monsters (2013),2005,Percy Jackson & the Olympians,"Rick Riordan
The Lightning Thief (",28186,2013,* Percy Jackson & the Olympians: The Sea of Monsters
2145,"Perfect Little Angels (1989), Andrew Neiderman",Perfect Little Angels (1998) (TV),1989,Perfect Little Angels,Andrew Neiderman,25605682,1998,Perfect Little Angels
2146,"Pet Sematary (1983), Stephen King",Pet Sematary (1989),1983,Pet Sematary,Stephen King,33124137,1989,Pet Sematary
2147,"Pet Sematary (1983), Stephen King",* Pet Sematary Two (1992),1983,Pet Sematary,Stephen King,33124137,1992,* Pet Sematary Two
2148,"Pet Sematary (1983), Stephen King",* Pet Sematary (2019),1983,Pet Sematary,Stephen King,33124137,2019,* Pet Sematary
2149,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Peter Pan (1924),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,1924,Peter Pan
2150,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Peter Pan (1953),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,1953,Peter Pan
2151,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",* Return to Never Land (2002),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2002,* Return to Never Land
2152,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Peter Pan (1976) (TV),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,1976,Peter Pan
2153,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",The Lost Boys (1978),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,1978,The Lost Boys
2154,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie","Peter Pan (USSR, 1987)",1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,1987,Peter Pan
2155,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Hook (1991),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,1991,Hook
2156,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Peter Pan (2003),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2003,Peter Pan
2157,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Neverland (2003),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2003,Neverland
2158,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Peter Pan (2003),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2003,Peter Pan
2159,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Neverland (2003),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2003,Neverland
2160,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Finding Neverland (2004),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2004,Finding Neverland
2161,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Tinker Bell (2008–2012) (series),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2008,Tinker Bell
2162,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",Tinker Bell (2008) (V),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2008,Tinker Bell
2163,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",* Tinker Bell and the Lost Treasure (2009),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2009,* Tinker Bell and the Lost Treasure
2164,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",** Tinker Bell and the Great Fairy Rescue (2010) (V),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2010,** Tinker Bell and the Great Fairy Rescue
2165,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",*** Pixie Hollow Games (2011) (V),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2011,*** Pixie Hollow Games
2166,"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play)
Peter and Wendy (1911) (novel), J. M. Barrie",**** Secret of the Wings (2012) (V),1904,"Peter Pan, or The Boy Who Wouldn't Grow Up",J. M. Barrie,28699450,2012,**** Secret of the Wings
2167,"Peyton Place (1956), Grace Metalious",Peyton Place (1957),1956,Peyton Place,Grace Metalious,526869,1957,Peyton Place
2168,"The Phantom Crown: The Story of Maximilian & Carlota of Mexico (1934), Bertita Harding",Juarez (1939),1934,The Phantom Crown: The Story of Maximilian & Carlota of Mexico,Bertita Harding,10546105,1939,Juarez
2169,"Phantom Lady (1942), Cornell Woolrich (as William Irish)",Phantom Lady (1944),1942,Phantom Lady,Cornell Woolrich (as William Irish),484110,1944,Phantom Lady
2170,"The Phantom of the Opera (1909–1910, 1911), Gaston Leroux",The Phantom of the Opera (1925),1909,The Phantom of the Opera,Gaston Leroux,480204,1925,The Phantom of the Opera
2171,"The Phantom of the Opera (1909–1910, 1911), Gaston Leroux",Phantom of the Opera (1943),1909,The Phantom of the Opera,Gaston Leroux,480204,1943,Phantom of the Opera
2172,"The Phantom of the Opera (1909–1910, 1911), Gaston Leroux",The Phantom of the Opera (1962),1909,The Phantom of the Opera,Gaston Leroux,480204,1962,The Phantom of the Opera
2173,"The Phantom of the Opera (1909–1910, 1911), Gaston Leroux",The Phantom of the Opera (1989),1909,The Phantom of the Opera,Gaston Leroux,480204,1989,The Phantom of the Opera
2174,"The Phantom of the Opera (1909–1910, 1911), Gaston Leroux",The Phantom of the Opera (1998),1909,The Phantom of the Opera,Gaston Leroux,480204,1998,The Phantom of the Opera
2175,"The Phantom of the Opera (1909–1910, 1911), Gaston Leroux",The Phantom of the Opera (2004),1909,The Phantom of the Opera,Gaston Leroux,480204,2004,The Phantom of the Opera
2176,"Pharaoh (1895), Bolesław Prus",Pharaoh (1966),1895,Pharaoh,Bolesław Prus,538870,1966,Pharaoh
2177,"The Philadelphian (1957), Richard P. Powell",The Young Philadelphians (1959),1957,The Philadelphian,Richard P. Powell,1670792,1959,The Young Philadelphians
2178,"El Pianista (1985), Manuel Vázquez Montalbán",The Pianist (1998),1985,El Pianista,Manuel Vázquez Montalbán,24395806,1998,The Pianist
2179,"The Pickwick Papers (1836–1837) (serial), (1837) (novel), Charles Dickens",The Pickwick Papers (1913),1836,The Pickwick Papers,(1837) (novel,229432,1913,The Pickwick Papers
2180,"The Pickwick Papers (1836–1837) (serial), (1837) (novel), Charles Dickens",The Adventures of Mr. Pickwick (1921),1836,The Pickwick Papers,(1837) (novel,229432,1921,The Adventures of Mr. Pickwick
2181,"The Pickwick Papers (1836–1837) (serial), (1837) (novel), Charles Dickens",The Pickwick Papers (1952),1836,The Pickwick Papers,(1837) (novel,229432,1952,The Pickwick Papers
2182,"The Picture of Dorian Gray (1890), Oscar Wilde",Dorian Grays Portræt (1910),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1910,Dorian Grays Portræt
2183,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (1913),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1913,The Picture of Dorian Gray
2184,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (1916),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1916,The Picture of Dorian Gray
2185,"The Picture of Dorian Gray (1890), Oscar Wilde",Das Bildnis des Dorian Gray (1917),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1917,Das Bildnis des Dorian Gray
2186,"The Picture of Dorian Gray (1890), Oscar Wilde",Az Élet királya (The Picture of Dorian Gray) (1918),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1918,Az Élet királya
2187,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (1945),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1945,The Picture of Dorian Gray
2188,"The Picture of Dorian Gray (1890), Oscar Wilde",El Retrato de Dorian Gray (1969) (TV),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1969,El Retrato de Dorian Gray
2189,"The Picture of Dorian Gray (1890), Oscar Wilde",Dorian Gray (a. k. a. The Evils of Dorian Gray or The Secret of Dorian Gray) (1970),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1970,Dorian Gray
2190,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (1973) (TV),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1973,The Picture of Dorian Gray
2191,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (1976) (TV),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1976,The Picture of Dorian Gray
2192,"The Picture of Dorian Gray (1890), Oscar Wilde",Le Portrait de Dorian Gray (1977),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1977,Le Portrait de Dorian Gray
2193,"The Picture of Dorian Gray (1890), Oscar Wilde",The Sins of Dorian Gray (1983) (TV),1890,The Picture of Dorian Gray,Oscar Wilde,5297,1983,The Sins of Dorian Gray
2194,"The Picture of Dorian Gray (1890), Oscar Wilde",Dorian (a. k. a. Pact with the Devil) (2001),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2001,Dorian
2195,"The Picture of Dorian Gray (1890), Oscar Wilde",The League of Extraordinary Gentlemen (2003),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2003,The League of Extraordinary Gentlemen
2196,"The Picture of Dorian Gray (1890), Oscar Wilde",Dorian (2004),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2004,Dorian
2197,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (2004),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2004,The Picture of Dorian Gray
2198,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (2006),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2006,The Picture of Dorian Gray
2199,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture of Dorian Gray (2007),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2007,The Picture of Dorian Gray
2200,"The Picture of Dorian Gray (1890), Oscar Wilde",The Picture (of Dorian Gray) (2009),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2009,The Picture
2201,"The Picture of Dorian Gray (1890), Oscar Wilde",Dorian Gray (2009),1890,The Picture of Dorian Gray,Oscar Wilde,5297,2009,Dorian Gray
2202,"The Pillar of Light (1990), Gerald N. Lund",The Work and the Glory (2004),1990,The Pillar of Light,Gerald N. Lund,20178265,2004,The Work and the Glory
2203,"Pin (1981), Andrew Neiderman",Pin (1988),1981,Pin,Andrew Neiderman,481428,1988,Pin
2204,"Pioneer, Go Home! (1959), Richard P. Powell",Follow That Dream (1964),1959,"Pioneer, Go Home!",Richard P. Powell,2591577,1964,Follow That Dream
2205,"The Pirates! (2004–2012) (series), Gideon Defoe
The Pirates! in an Adventure with Scientists (2004)
* The Pirates! in an Adventure with Whaling (2005)",The Pirates! In an Adventure with Scientists (2012),2004,The Pirates!,"Gideon Defoe
The Pirates! in an Adventure with Scientists (",225314,2012,The Pirates! In an Adventure with Scientists
2206,"Pity My Simplicity (1944), Christopher Massie",Love Letters (1945),1944,Pity My Simplicity,Christopher Massie,,1945,Love Letters
2207,"La Planète des singes (1963), Pierre Boulle","Planet of the Apes (1968–1973, 2001–present) (series)",1963,La Planète des singes,Pierre Boulle,414895,1968,Planet of the Apes
2208,"La Planète des singes (1963), Pierre Boulle",Planet of the Apes (1968),1963,La Planète des singes,Pierre Boulle,414895,1968,Planet of the Apes
2209,"La Planète des singes (1963), Pierre Boulle",* Beneath the Planet of the Apes (1970),1963,La Planète des singes,Pierre Boulle,414895,1970,* Beneath the Planet of the Apes
2210,"La Planète des singes (1963), Pierre Boulle",** Escape from the Planet of the Apes (1971),1963,La Planète des singes,Pierre Boulle,414895,1971,** Escape from the Planet of the Apes
2211,"La Planète des singes (1963), Pierre Boulle",** * Conquest of the Planet of the Apes (1972),1963,La Planète des singes,Pierre Boulle,414895,1972,** * Conquest of the Planet of the Apes
2212,"La Planète des singes (1963), Pierre Boulle",** ** Battle for the Planet of the Apes (1973),1963,La Planète des singes,Pierre Boulle,414895,1973,** ** Battle for the Planet of the Apes
2213,"La Planète des singes (1963), Pierre Boulle",Planet of the Apes (2001),1963,La Planète des singes,Pierre Boulle,414895,2001,Planet of the Apes
2214,"La Planète des singes (1963), Pierre Boulle",* Rise of the Planet of the Apes (2011),1963,La Planète des singes,Pierre Boulle,414895,2011,* Rise of the Planet of the Apes
2215,"Pleasure Island (1949), William Maier",The Girls of Pleasure Island (1953),1949,Pleasure Island,William Maier,,1953,The Girls of Pleasure Island
2216,"Point de lendemain: conte dédiée à la reine (1876), Dominique Vivant",The Lovers (Les Amants) (1958),1876,Point de lendemain: conte dédiée à la reine,Dominique Vivant,6844128,1958,The Lovers
2217,"The Polar Express (1985), Chris Van Allsburg",The Polar Express (2004),1985,The Polar Express,Chris Van Allsburg,420282,2004,The Polar Express
2218,"Pollyanna (1913), Eleanor H. Porter",Pollyanna (1920),1913,Pollyanna,Eleanor H. Porter,1000751,1920,Pollyanna
2219,"Pollyanna (1913), Eleanor H. Porter",Pollyanna (1960),1913,Pollyanna,Eleanor H. Porter,1000751,1960,Pollyanna
2220,"Pollyanna (1913), Eleanor H. Porter",Hayat sevince güzel (1971),1913,Pollyanna,Eleanor H. Porter,1000751,1971,Hayat sevince güzel
2221,"Pollyanna (1913), Eleanor H. Porter",Pollyanna (1973) (TV) (serial),1913,Pollyanna,Eleanor H. Porter,1000751,1973,Pollyanna
2222,"Pollyanna (1913), Eleanor H. Porter",The Adventures of Pollyanna (1982) (TV),1913,Pollyanna,Eleanor H. Porter,1000751,1982,The Adventures of Pollyanna
2223,"Pollyanna (1913), Eleanor H. Porter",Polly (1989) (TV),1913,Pollyanna,Eleanor H. Porter,1000751,1989,Polly
2224,"Pollyanna (1913), Eleanor H. Porter",* Polly: Comin' Home! (1990) (TV),1913,Pollyanna,Eleanor H. Porter,1000751,1990,* Polly: Comin' Home!
